company,job_title,salary
Google,Software Engineer,"$156,403"
Google,Senior Software Engineer,"$209,281"
Google,Software Engineer III,"$192,437"
Google,Software Engineer II,"$160,991"
Google,Software Engineer,"$8,163"
Google,Staff Software Engineer,"$276,518"
Google,Software Engineering,"$7,933"
Google,Software Engineer(),"$8,318"
Google,Hardware Engineer,"$154,888"
Google,Software Developer,"$110,970"
Google,Software Engineer In Test,"$136,157"
Google,Test Engineer,"$146,402"
Google,Site Reliability Engineer,"$160,244"
Google,Google SWE,"$161,007"
Google,"Software Engineer, Tools and Infrastructure","$141,171"
Google,SWE,"$96,820"
Google,Software Engineer,"$100,461"
Google,Engineer,"$108,480"
Google,Software Engineer (Site Reliability),"$136,794"
Google,Google Engineering Practicum,$34
Amazon,Software Development Engineer II,"$148,737"
Amazon,Software Development Engineer,"$140,800"
Amazon,Software Development Engineer I,"$132,997"
Amazon,Software Engineer,"$140,000"
Amazon,Software Development Engineer,"$8,407"
Amazon,Software Development Engineer III,"$174,521"
Amazon,Software Development Manager III,"$174,521"
Amazon,Software Development Engineer (SDE),"$128,894"
Amazon,Software Development Manager,"$167,552"
Amazon,Data Engineer II,"$136,306"
Amazon,Quality Assurance Engineer II,"$141,799"
Amazon,Senior Software Development Engineer,"$172,977"
Amazon,Senior Software Engineer,"$163,563"
Amazon,Software Engineer,"$8,509"
Amazon,Software Engineer(),"$8,571"
Amazon,Software Development Engineer (SDE) II,"$152,000"
Amazon,Software Developer,"$129,210"
Amazon,Data Engineer,"$130,796"
Amazon,Software Engineer II,"$152,856"
Amazon,Software Development Engineer 1,"$131,595"
Meta,Software Engineer,"$170,000"
Meta,Production Engineer,"$158,011"
Meta,Data Engineer,"$171,689"
Meta,Software Engineer,"$8,678"
Meta,Software Engineer(),"$8,720"
Meta,Front End Engineer,"$172,326"
Meta,Senior Software Engineer,"$219,378"
Meta,Software Engineer V,"$235,246"
Meta,Software Engineer IV,"$186,039"
Meta,Software Engineering Manager,"$256,328"
Meta,Software Engineering,"$8,596"
Meta,Enterprise Engineer,"$135,808"
Meta,Engineering Manager,"$247,322"
Meta,Software Engineer III,"$142,681"
Meta,Facebook Software Engineer,"$144,316"
Meta,SWE,"$8,621"
Meta,Software Engineer VI,"$289,698"
Meta,Software Developer,"$134,950"
Meta,Optical Scientist,"$163,614"
Meta,Engineer,"$159,900"
Microsoft,Software Engineer,"$127,000"
Microsoft,Software Development Engineer,"$144,181"
Microsoft,Software Development Engineer In Test (SDET),"$126,017"
Microsoft,Software Development Engineer II,"$168,168"
Microsoft,Senior Software Development Engineer,"$198,567"
Microsoft,Senior Software Engineer,"$186,194"
Microsoft,Software Engineer II,"$152,085"
Microsoft,Software Development Engineer In Test (SDET) II,"$143,272"
Microsoft,"Software Development Engineer In Test, II","$136,846"
Microsoft,Software Engineer(),"$7,973"
Microsoft,Software Development Engineer,"$8,203"
Microsoft,Principal Software Engineer,"$235,252"
Microsoft,Principal Software Development Engineer,"$244,393"
Microsoft,Software Development Engineer (SDE) II,"$154,313"
Microsoft,Principal Software Engineering Manager,"$265,070"
Microsoft,Lead Software Development Engineer,"$171,981"
Microsoft,Software Engineer,"$7,968"
Microsoft,Software Developer,"$124,504"
Microsoft,Hardware Engineer,"$141,851"
Microsoft,Software Engineering Manager,"$210,440"
Apple,Systems Software Developer,"$158,867"
Apple,Applications Software Developer,"$189,569"
Apple,Mechanical Engineer,"$138,133"
Apple,Computer Hardware Engineer,"$159,974"
Apple,Software Engineer,"$141,554"
Apple,Industrial Engineer,"$133,114"
Apple,Senior Software Engineer,"$199,882"
Apple,Software Development Engineer,"$182,934"
Apple,Software Applications Development Engineer,"$179,975"
Apple,Software Engineer III,"$169,989"
Apple,Software Engineer IV,"$219,514"
Apple,Architectural and Engineering Manager,"$206,296"
Apple,Hardware Development Engineer,"$164,799"
