,question,date
0,Talk about yourself,"November 6, 2018"
1,"java , spring, collection, hibernate, REST","January 19, 2021"
2,How you are going to manage tough time when your client is asking your job on the same day and if entire team is tied up with the other project ?,"May 29, 2014"
3,Why do you think you would be ideal to work at I Like Pie?,"December 8, 2015"
4,what can they do to get me onboard? What schedule do I require or looking for? Would I assist with others coming onboard? Would I assist with assisting the trainer for others coming onboard?,"January 31, 2019"
5,They ask about BANKING domain knowledge as I mention having BANKING domain knowledge.,"December 14, 2016"
6,willing to work with no training,"February 11, 2019"
7,Why do you want this job.,"April 26, 2015"
8,"What do you know about Suddenlink? Most people do not research the company they are interested in which is an insult. So do your background research. Be ready to answer why you are the best candidate for the job without using the canned statements, ""I'm a hard worker, I'm a fast learner, etc"".","April 22, 2013"
9,"Product Knowledge ,previous Job responsibility, knowledge about Plastic Design Knowledge","November 12, 2017"
10,Have you deployed lean principles?,"October 29, 2017"
11,"There were no interview questions-- only wanted to know if candidate understood lifestyle commitment while working on a rig; long hours, away from home, drilling location(s), etc... You need to pass a written exam-- basis math and chemistry questions. For someone who passed high school, it's an extremely basic test with little difficulty.","February 24, 2015"
12,Your skills will be tested,"April 3, 2018"
13,Why did I not want to pursue a degree (instead of industry certifications.),"July 4, 2015"
14,What is your biggest weakness,"July 23, 2019"
15,scrum cycle,"November 6, 2020"
16,Atomic number ? Atom structure? How many solid metal? only these questions have level this company,"March 15, 2018"
17,Where do you see yourself 5 years from now?,"August 4, 2017"
18,"Do you think that students of lower socioeconomic status (specifically, urban-dwelling students) should be held to different standards than students in wealthier areas?","December 1, 2016"
19,What makes me different from other applicants,"January 29, 2018"
20,I was asked if I could travel for my role.,"January 14, 2021"
21,Uma frase na qual se identifica?,"June 12, 2019"
22,Industry and company,"December 8, 2014"
23,What hours would you like to work?,"May 10, 2018"
24,Mora perto do Pecege?,"June 12, 2019"
25,"Questions on in app purchase, app store publishing.","September 8, 2016"
26,details of projects in the resume,"March 14, 2018"
27,A problem statement was given regarding how could we ascertain the feasibility and economic impact of the said project: We were given 20 minutes to answer,"January 5, 2016"
28,How would you handle a difficult co-worker?,"January 9, 2017"
29,Most difficult encounter,"April 14, 2015"
30,"I was the fresher at that time, so they asked questions related to biotechnology and few chemistry questions.","July 22, 2019"
31,Nothing I couldn't answer,"December 28, 2014"
32,What is the difference between B2B and B2C,"October 14, 2015"
33,salary,"March 15, 2018"
34,Based on the department,"May 9, 2019"
35,"O entrevistador me solicitou que eu falasse sobre a minha experiência profissional sobre a área que eu estava me candidatando, o que eu esperava da Empresa caso eu fosse escolhido. Se eu já tinha trabalhado sobre pressão, já que a oportunidade de emprego poderia em alguns casos sofrer pressões.","June 12, 2019"
36,Qual sua experiência com pesquisa e desenvolvimento?,"May 27, 2020"
37,Mostly general like tell me about why you want to work here.,"November 30, 2016"
38,How do you handle stress,"August 21, 2018"
39,Quels sont les 3 adjectifs que vos meilleurs amis utiliseraient pour parler de vous,"March 10, 2021"
40,what is testing life cycle and regression testing,"January 1, 2016"
41,all basic questions on your technology. They want to ensure you are good at basics and some part of advance.,"June 16, 2016"
42,Are you able to start right away?,"February 16, 2021"
43,Where have you worked before?,"August 28, 2015"
44,Where are your three go to shops,"March 17, 2017"
45,Sobre se eu já tinha participado ou visto meus superiores fazendo algo que não fosse ético ou errado para atingir os objetivos.,"June 12, 2019"
46,How did you hear about us?,"October 6, 2010"
47,1 About the Work Experiene 2 About Why IBI?,"May 22, 2021"
48,The recruiter will try to talk you out of it cause it is a dirty job,"June 6, 2013"
49,Comment fonctionne une pompe ou un compresseur? (La question est posée pour voir comment on réagit avec un élément Inconnu),"September 22, 2021"
